Référence vue sur idealo;Prix le plus bas vu (€);Classe;Titre de la tuile
DCD777L2T;332,44;variante absente;DeWalt DCD777L2T
DCD777M2;219,9;variante absente;DeWalt DCD777M2
DCD777M2TA;250,81;variante absente;DeWalt DCD777M2TA (2x 4,0 Ah)
DCD777N;84,9;variante absente;DeWalt DCD777N
DCD777P1-QW;179,99;variante absente;DeWalt DCD777P1-QW
DCD777S2T;163,77;variante absente;DeWalt DCD777S2T
DCD778D2T;176,09;variante absente;DeWalt DCD778D2T avec coffret T-STAK (2x 2,0 Ah)
DCD778D2TA;341,69;variante absente;DeWalt DCD778D2TA avec coffret T-STAK et set d'embouts (2x 2.0 Ah)
DCD778L2T;263,36;variante absente;DeWalt DCD778L2T (2 x 3,0 Ah + Chargeur Rapide) dans Coffret T STAK
DCD778M2T;199,99;variante absente;DeWalt DCD778M2T
DCD778S2T-QW;199,18;variante absente;DeWalt DCD778S2T-QW 18 V Set
DCD790;319;variante absente;DeWalt DCD790
DCD790M2-QW;319;variante absente;DeWalt DCD790M2-QW
DCD791D1-QW;163,75;variante absente;Dewalt DCD791D1-QW Set perceuse visseuse Li-Ion 18V (1x batterie 2.0Ah
DCD791D2-QW;178,92;variante absente;DeWalt DCD791D2-QW
DCD791E1;206,11;variante absente;DeWalt DCD 791 E1 Perceuse-visseuse sans fil 18 V 70 Nm Brushless + 1x
DCD791E2;284,83;variante absente;DeWalt DCD 791 E2 Perceuse-visseuse sans fil 18 V 70 Nm Brushless + 2x
DCD791L2T;296,29;variante absente;DeWalt DCD791L2T
DCD791M1;204,11;variante absente;Perceuse-visseuse sans fil DeWalt DCD 791 M1 18 V 70 Nm Brushless + 1 
DCD791M2;261,94;variante absente;Perceuse-visseuse sans fil DeWalt DCD 791 M2 18 V 70 Nm Brushless + 2 
DCD791P1;211,74;variante absente;DeWalt DCD791P1 (1x 5,0 Ah + chargeur)
DCD791P1-QW;194,78;variante absente;Dewalt DCD791P1-QW Perceuse visseuse compacte XR 18V 5Ah Li-Ion Brushl
DCD791P2;223,12;variante absente;DeWalt DCD791P2 (2 x 5,0 Ah)
DCD791P2A;437,04;variante absente;DeWALT - Set perceuse-visseuse et clé à choc sans fil 18V, 2 batteries
DCD791P3A-QW;450,01;variante absente;DeWalt DCD791P3A-QW
DCD791P3K;452,1;variante absente;DeWalt DCD791P3K
DCD792;333,59;variante absente;DeWalt DCD792
DCD792P2B;449,45;variante absente;DeWalt DCD792P2B
DCD795;228,23;variante absente;DeWalt DCD795
DCD795D2;344,9;variante absente;DeWalt DCD795D2
DCD795M1;228,23;variante absente;DeWalt DCD795M1
DCD795M2;260,87;variante absente;DeWalt DCD795M2
DCD795N;204,2;variante absente;DeWalt DCD795N Perceuse à Percussion Brushless XR 18V (DCD795N)
DCD795P2;421,89;variante absente;DeWalt DCD795P2
DCD796D1-QW;161,48;variante absente;Dewalt DCD796D1-QW Perceuse Visseuse Percussion Compact XR 18V Li-Ion 
DCD796D1T;181;variante absente;Perceuse-visseuse à percussion DeWALT DCD796D1T (1 x 2,0 Ah + DCB107 +
DCD796D2;216,85;variante absente;DeWalt DCD796D2
DCD796D2-QW;168,97;variante absente;DeWalt DCD796D2-QW
DCD796D2A;275,96;variante absente;DeWALT - Perceuse-visseuse à percussion sans fil 18 V, avec accessoire
DCD796D2PK-QW;397,67;variante absente;DeWalt DCD796D2PK-QW
DCD796D2T;219;variante absente;Perceuse-visseuse à percussion DeWALT DCD796D2T (2 x 2,0 Ah + DCB107 +
DCD796E1;178;variante absente;DeWalt DCD 796 E1 Perceuse-visseuse à percussion sans fil 18 V 70 Nm B
DCD796E1T;184,03;variante absente;DeWalt DCD796E1T
DCD796M1;189,74;variante absente;Dewalt DCD796M1 Perceuse à percussion 18V XR (1x 4,0Ah) + chargeur en 
DCD796M2;239,25;variante absente;Dewalt DCD796M2 Perceuse à percussion 18V XR (2x 4,0Ah) + chargeur en 
DCD796M2-QW;270,94;variante absente;DEWALT - Perceuse-Visseuse à Percussion Brushless XR 18 V, 2 Batteries
DCD796P1;192,27;variante absente;DeWalt DCD796P1 (1 x 5,0 Ah + chargeur) avec coffret
DCD796P1T;233;variante absente;Perceuse-visseuse à percussion DeWALT DCD796P1T (1 x 5,0 Ah + DCB115 +
DCD796P1TX;178,4;variante absente;DeWalt DCD796P1TX
DCD796P2;241,43;variante absente;DeWalt DCD796P2
DCD796P2T;302;variante absente;Perceuse-visseuse à percussion DeWALT DCD796P2T (2 x 5,0 Ah + DCB115 +
DCD796T1T;278,89;variante absente;Perceuse à percussion 18V XR (1x6.0 Ah) en TSTAK - DEWALT DCD796T1T
DCD800E1;213,74;variante absente;DeWalt DCD800E1 (1x 1.7 Ah Powerstack battery + charger)
DCD800E1T;209,57;variante absente;DeWalt DCD800E1T
DCD800E2;281,22;variante absente;DeWalt DCD800E2
DCD800E2T-QW;271,01;variante absente;DeWalt DCD800E2T-QW
DCD800H1;292,46;variante absente;DeWalt DCD800H1 (1x Powerstack battery 5.0 Ah + charger)
DCD800H1T;301,06;variante absente;DeWalt DCD800H1T (1x Powerstack battery 5.0 Ah + charger + TSTAK)
DCD800H1T-QW;269,23;variante absente;Dewalt DCD800H1T-QW Perceuse visseuse 18V XR 90 Nm + 1 x 5,0Ah Batteri
DCD800H2T;214,79;variante absente;DeWalt DCD800H2T (2x Powerstack battery 5.0 Ah + charger + TSTAK)
DCD800M1;224,99;variante absente;DeWalt DCD800M1
DCD800M1T;233,59;variante absente;DeWalt DCD800M1T (1x battery 4.0 Ah + charger + TSTAK)
DCD800M2;286,04;variante absente;DeWalt DCD800M2
DCD800P1;234,63;variante absente;DeWalt DCD800P1 (1x battery 5.0 Ah + charger)
DCD800P1T;228,71;variante absente;Dewalt DCD800P1T Perceuse visseuse 18V XR 90 Nm + 1 x 5,0Ah Batterie +
DCD800P2;303,71;variante absente;DeWalt DCD800P2
DCD800P2LRT;342,67;variante absente;DeWalt DCD800P2LRT With 2x5.0Ah Batteries And Charger
DCD800P2T;285,62;variante absente;DeWalt DCD800P2T
DCD800S2T-QW;539,99;variante absente;DeWalt Cordless Drill/Driver DCD800S2T-QW
DCD803;346,24;variante absente;DeWalt DCD803 Perceuse visseuse multi-têtes XR 18V 2Ah Brushless (DCD8
DCD803KN-XJ;270;variante absente;DEWALT Perceuse-visseuse multi-têtes 18V XR, 4 têtes, DCD803KN-XJ
DCD803M1T-QW;354,52;variante absente;DeWALT DCD803M1T-QW Kit Visseuse/perceuse Sans Fil 18 V XR (1 Batterie
DCD805E1T;241,06;variante absente;DeWalt DCD805E1T (1 x 1,7 Ah)
DCD805E2T;308,53;variante absente;DeWalt DCD805E2T
DCD805E2T-QW;293,2;variante absente;DeWalt DCD805E2T-QW
DCD805H1T;309,75;variante absente;Dewalt DCD805H1T Perceuse à percussion POWERSTACK XR Brushless 18V 90N
DCD805H2T;371,95;variante absente;DeWalt DCD805H2T
DCD805M1T;250,69;variante absente;DeWalt DCD805M1T
DCD805M2T;311,74;variante absente;DeWalt DCD805M2T
DCD805P1T;245,91;variante absente;Dewalt DCD805P1T Perceuse à percussion XR Brushless 18V 90Nm - 1 X 5Ah
DCD805P2LRT-QW;342,7;variante absente;Perceuse visseuse percussion compacte XR DEWALT DCD805P2LRT-QW 18V 2X5
DCD805P2T;272,84;variante absente;DeWalt DCD805P2T
DCD85ME2GT-QW;345;variante absente;DeWalt Dcd85Me2Gt-Qw
DCD86MM1T-QW;269,99;variante absente;Perceuse visseuse à percussion sans fil brushless 18V DEWALT McLaren D
DCD86MP2KT;311,04;variante absente;DeWalt McLaren DCD86MP2KT
DCD86MP2T-QW;279,41;variante absente;DeWalt McLaren DCD86MP2T-QW
DCD990;574,15;variante absente;DeWalt DCD990
DCD991N;209,55;variante absente;DeWalt DCD991N
DCD991NT;161,68;variante absente;DeWalt DCD991NT
DCD991P2;329,17;variante absente;DeWalt DCD991P2
DCD991T2-QW;504,02;variante absente;DeWalt DCD991T2-QW
DCD996D1;247,48;variante absente;DeWalt DCD 996 D1 Perceuse-visseuse à percussion sans fil 18 V 95 Nm B
DCD996E1;264,75;variante absente;DeWalt DCD996E1
DCD996E2;343,47;variante absente;DeWalt DCD996E2
DCD996H1;330,62;variante absente;DeWalt DCD996H1 (1 x 5,0 Ah + DCB)
DCD996H2;459,14;variante absente;DeWalt DCD996H2 (2 x 5,0 Ah + DCB)
DCD996M1;263,55;variante absente;DeWalt DCD 996 M1 Perceuse-visseuse à percussion sans fil 18 V 95 Nm B
DCD996M1T;263,55;variante absente;DeWalt DCD996M1T (1x 4.0 Ah battery + charger + TSTAK)
DCD996M2;324,59;variante absente;DeWalt DCD996M2 (2 x 4,0 Ah + Chargeur) en boîte T-STAK
DCD996M2T;324,59;variante absente;DeWalt DCD996M2T (2x 4.0 Ah battery + charger + TSTAK)
DCD996NE1;264,75;variante absente;DeWalt DCD996NE1 (1 x 1,7 Ah)
DCD996P1;267,96;variante absente;DeWalt DCD996P1 (1 x 5,0 Ah)
DCD996P1T;268,37;variante absente;DeWalt DCD996P1T (1x 5.0 Ah battery + charger + TSTAK)
DCD996P2;268;variante absente;DeWalt DCD996P2
DCD996P2T;334,23;variante absente;DeWalt DCD996P2T (2x 5.0 Ah battery + charger + TSTAK)
DCD996P3;379;variante absente;DeWalt DCD996P3
DCD996T2;461,02;variante absente;DeWalt DCD996T2 18V Brushless Combi Hammer + 2 x 6.0Ah Batteries Charg
DCD996X1-GB;341,06;variante absente;DeWalt DCD996X1-GB (1x 9,0Ah + TSTAK)
DCD999H2T;449,74;variante absente;DeWalt DCD999H2T
DCD999T1-QW;347,76;variante absente;DeWalt DCD999T1-QW
DCD999X1-QW;335,5;variante absente;DeWalt DCD999X1-QW
DCE080D1GS-QW;1531;variante absente;DeWalt DCE080D1GS-QW
DCE0811D1G-QW;386,1;variante absente;DeWalt DCE0811D1G-QW
DCE0811D1R-QW;332,68;variante absente;DeWalt DCE0811D1R-QW
DCE0822D1G;359,9;variante absente;DeWalt DCE0822D1G
DCE0825D1G;370,4;variante absente;DeWalt DCE0825D1G
DCE088D1G18-QW;293,99;variante absente;DeWalt DCE088D1G18-QW
DCE089D1G-GB;591,36;variante absente;DeWalt DCE089D1G-GB
DCE089D1G-QW;407,54;variante absente;DeWalt DCE089D1G-QW
DCE089D1G18;812,12;variante absente;DeWalt DCE089D1G18 Laser multiligne vert 3x360° 12/18V 2.0Ah Li-Ion (D
DCE089D1G18-QW;478,92;variante absente;DeWalt DCE089D1G18-QW
DCE089D1R;398,23;variante absente;DeWalt DCE089D1R
DCE512B;337,53;variante absente;DEWALT Ventilateur 20 V max, 4,5 heures d'autonomie, sans fil, portabl
DCE530M1;204,75;variante absente;Pistolet à air chaud sans fil DeWalt DCE 530 M1 18 V 530 °C + 1 batter
DCE530M2;265,8;variante absente;Pistolet à air chaud sans fil DeWalt DCE 530 M2 18 V 530 °C + 2 batter
DCE530P1;214,39;variante absente;DeWalt DCE530P1
DCE530P2;283,47;variante absente;DeWalt DCE530P2
DCE530P2-QW;279,9;variante absente;DeWalt DCE530P2-QW
DCE580D1-QW;399;variante absente;DeWalt DCE580D1-QW
DCE581D1;387,91;variante absente;DeWalt DCE581D1
DCE581N;369,05;variante absente;Pistolet à calfeutrer sans fil Dewalt 300-600 ml 18 V XR DCE581N
DCE581N-XJ;373,66;variante absente;Pistolet à mastic DEWALT XR 18V - Sans batterie, ni chargeur - tube lo
DCE581P1K;415,21;variante absente;DeWalt DCE 581 P1K Pistolet à cartouche sans fil 18 V 310 ml + 1x batt
DCE581P2K;487,92;variante absente;DeWalt DCE 581 P2K Pistolet à cartouche sans fil 18 V 310 ml + 2x batt
DCE590M1;451,51;variante absente;Aspirateur sans fil DeWalt DCE 590 M1 18 V 120 kg + 1 batterie 4,0 Ah 
DCE590M2;512,55;variante absente;Aspirateur sans fil DeWalt DCE 590 M2 18 V 120 kg + 2 batteries 4,0 Ah
DCE590P1;436,33;variante absente;Aspirateur sans fil DeWalt DCE 590 P1 18 V 120 kg + 1 batterie 5,0 Ah 
DCE590P2;509,04;variante absente;Aspirateur sans fil DeWalt DCE 590 P2 18 V 120 kg + 2 batteries 5,0 Ah
DCE800H1-SK;689;variante absente;DeWalt Drywall sander DCE800H1-SK (1 x 5.0 Ah Powerstack + DCB1104)
DCE800H2-SK;825;variante absente;DeWalt Drywall sander DCE800H2-SK (2 x 5.0 Ah Powerstack + DCB1104)
DCE800NB-XJ;496;variante absente;DeWalt DCE800NB-XJ
DCE800T2;748,94;variante absente;DeWalt DCE800T2
DCE825D1G18-QW;429;variante absente;DeWalt DCE825D1G18-QW
DCF403D1-QW;497,82;variante absente;Dewalt DCF403D1-QW Riveteuse sans fil 18 V 2.4-4.8mm - 1X2.0Ah Batteri
DCF403D2-QW;537,42;variante absente;Dewalt DCF403D2-QW Riveteuse sans fil 18 V 2.4-4.8mm - 2X2.0Ah Batteri
DCF403D2GT;548,45;variante absente;DeWalt DCF403D2GT Riveteuse sans Fil Brushless 18V 4,8mm (DCF403D2GT-Q
DCF403E1GT;539,62;variante absente;DeWalt Pistolet à riveter 18V 1x1,7Ah POWERSTACK avec chargeur et TSTA
DCF414D1-QW;693,49;variante absente;Dewalt DCF414D1-QW Riveteuse sans fil 18 V 4.8-6.4mm - 1X2.0Ah Batteri
DCF414D2-QW;736,41;variante absente;Dewalt DCF414D2-QW Riveteuse sans fil 18 V 4.8-6.4mm - 2X2.0Ah Batteri
DCF414E2GT;738,54;variante absente;DeWalt DCF414E2GT
DCF414NT-XJ;545;variante absente;DeWalt DCF414NT-XJ
DCF500L2G-QW;320,27;variante absente;DeWalt DCF500L2G-QW
DCF503D1-QW;260,28;variante absente;DeWalt DCF503D1-QW
DCF503EN;142,95;variante absente;DeWalt DCF503EN
DCF503L1G-QW;237,76;variante absente;DeWalt DCF503L1G-QW
DCF504D1;271,91;variante absente;DeWalt DCF504D1
DCF504L1G-QW;234,9;variante absente;DeWalt DCF504L1G-QW
DCF504N-XJ;168,49;variante absente;DeWalt DCF504N-XJ
DCF510E2G-QW;361,9;variante absente;DeWalt DCF510E2G-QW
DCF512D1;425,08;variante absente;DeWalt DCF512D1 18V 1 x 2,0Ah (DEWDCF512D1)
DCF512D1G-QW;279,32;variante absente;DeWalt DCF512D1G-QW
DCF512EN;249;variante absente;"DeWalt DCF512EN Clé à Cliquet 1/2"" 18V (DCF512EN-XJ)"
DCF513D1G-QW;273;variante absente;DeWalt DCF513D1G-QW
DCF513EN;249;variante absente;"DeWalt DCF513EN Clé à Cliquet 18V XR Brushless 3/8"" Allongée (DCF513EN"
DCF514EN;239;variante absente;"DeWalt DCF514EN Clé à Cliquet sans Fil 1/4"" 18V (DCF514EN-XJ)"
DCF601D2;191,51;variante absente;Tournevis sans fil DeWALT DCF601D2
DCF601D2-QW;169,87;variante absente;DeWalt DCF601D2-QW
DCF620;130,97;variante absente;DeWalt DCF620
DCF620D1K-QW;265,61;variante absente;Dewalt DCF620D1K-QW Visseuse placo à batteries 18V XR Li-Ion set (1x b
DCF620D1T-QW;199,24;variante absente;Dewalt DCF620D1T-QW Visseuse placo à batteries 18V XR Li-Ion set ( 1x 
DCF620D2-QW;234,2;variante absente;DeWalt DCF620D2-QW
DCF620D2K-QW;248,15;variante absente;DeWalt DCF620D2K-QW
DCF620E1K;266,88;variante absente;DeWalt DCF620E1K
DCF620E1T;223,38;variante absente;DeWalt DCF620E1T (1x Powerstack battery 1.7 Ah + charger + TSTAK)
DCF620E2T;290,86;variante absente;DeWalt DCF 620 E2T Visseuse pour cloisons sèches sans fil 18 V 30 Nm B
DCF620H1T;356,72;variante absente;DeWalt DCF620H1T (1x Powerstack battery 5.0 Ah + charger + TSTAK)
DCF620H2T;485,24;variante absente;DeWalt DCF620H2T
DCF620M1;234,63;variante absente;DeWalt DCF620M1
DCF620M1T;290,86;variante absente;DeWalt DCF620M1T
DCF620M2;295,68;variante absente;DeWalt DCF620M2 (2x 4.0 Ah battery + charger + TSTAK)
DCF620M2K-QW;379,42;variante absente;DeWalt DCF620M2K-QW
DCF620M2T;351,9;variante absente;DeWalt DCF620M2T
DCF620N;130,97;variante absente;DeWalt DCF620N
DCF620P1K-QW;279,8;variante absente;Dewalt DCF620P1K-QW Set doutils à batteries 18V - Visseuse plaques de 
DCF620P1T;305,32;variante absente;DeWalt DCF620P1T
DCF620P1T-QW;256,73;variante absente;Dewalt DCF620P1T-QW Set doutils à batteries 18V - Visseuse plaques de 
DCF620P2T;374,39;variante absente;DeWalt DCF620P2T
DCF620P2T-QW;298,3;variante absente;Dewalt DCF620P2T-QW Set doutils à batteries 18V - Visseuse plaques de 
DCF620P3T;403;variante absente;Visseuse rapide DeWALT DCF620P3T (3 x 5,0Ah + DCB115 + TSTAK II)
DCF622N;163,51;variante absente;DeWalt DCF622N -XJ
DCF622NT;260,79;variante absente;DeWalt DCF622NT
DCF787N;99,99;variante absente;Visseuse à choc sans fil brushless DEWALT DCF787N-SFXJ 18V Li-ion XR -
DCF801D2;191,32;variante absente;DeWalt DCF801D2
DCF809D1T;155,49;variante absente;Dewalt DCF809D1T Clé à chocs sans fil 18V - 1/4 - Brushless (sans char
DCF809D2T-QW;163,54;variante absente;DeWalt DCF809D2T-QW
DCF809E1;197,28;variante absente;DeWalt DCF 809 E1 Clé à choc sans fil 18 V 190 Nm 1/4'' Brushless + 1x
DCF809E1T;193,66;variante absente;DeWalt DCF 809 E1T Clé à choc sans fil 18 V Brushless + 1x batterie Po
DCF809E2;264,75;variante absente;DeWalt DCF 809 E2 Clé à choc sans fil 18 V 190 Nm 1/4'' Brushless + 2x
DCF809E2T;261,14;variante absente;DeWalt DCF 809 E2T Clé à choc sans fil 18 V 190 Nm 1/4'' Brushless + 2
DCF809L2T-QW;243,75;variante absente;DeWalt DCF809L2T-QW
DCF809M1T;230,61;variante absente;DeWalt DCF809M1T
DCF809M2T;291,66;variante absente;DeWalt DCF809M2T
DCF809N-XJ;93,79;variante absente;Visseuse à choc 1/4' 190Nm 18V - Livrée sans batterie ni chargeur - - 
DCF809P1T;186,75;variante absente;DeWalt DCF809P1T
DCF809P2T;245,39;variante absente;DeWalt DCF809P2T
DCF815D2;190,31;variante absente;DeWalt DCF815D2
DCF840;116,26;variante absente;DeWalt DCF840
DCF840D2T;200,4;variante absente;DeWalt DCF840D2T
DCF840E1T-XJ;158,82;variante absente;DeWalt DCF840E1T-XJ
DCF840N-XJ;123,64;variante absente;Dewalt - Visseuse à choc sans fil brushless 18V Li-ion XR - Sans batte
DCF850D1T;211,22;variante absente;Dewalt DCF850D1T Visseuse à chocs ultra compacte XR 18V 1X2AH Li-Ion B
DCF850D2T;247,16;variante absente;DeWalt DCF850D2T
DCF850E1;237,84;variante absente;DeWalt DCF850E1
DCF850E1T;229,44;variante absente;DeWalt DCF850E1T
DCF850E2;305,32;variante absente;DeWalt DCF850E2
DCF850E2T-QW;296,84;variante absente;DeWalt 18 V XR DCF850E2T-QW
DCF850M1;247,48;variante absente;DeWalt DCF850M1
DCF850NA;549,4;variante absente;DeWALT - Set de clés à chocs sans fil, batteries et chargeur, 6 pièces
DCF850P1;257,12;variante absente;DeWalt DCF850P1 (1x 5,0 Ah + chargeur)
DCF850P1T-QW;247,23;variante absente;Dewalt DCF850P1T-QW Visseuse à chocs ultra compacte XR 18V 1 X 5AH Li-
DCF850P2;327,81;variante absente;DeWalt DCF850P2
DCF850P2LRT;353,23;variante absente;Clé à chocs compacte sans fil DeWALT, batterie 2x 5Ah avec sangle DCF8
DCF85ME2GT-QW;293;variante absente;DeWalt DCF85ME2GT-QW McLaren Design
DCF85MM2T-QW;289,9;variante absente;DeWalt DCF85MM2T-QW
DCF860D1T;279;variante absente;Clé à chocs DeWALT DCF860D1T (1 x 2,0 Ah + DCB1102 + TSTAK II)
DCF860D1T-QW;276,88;variante absente;Dewalt DCF860D1T-QW Visseuse à chocs XR 282Nm 18V 1 x 2.0Ah batterie +
DCF860D2T;320;variante absente;Clé à chocs DeWALT DCF860D2T (2 x 2,0 Ah + DCB1102 + TSTAK II)
DCF860D2T-QW;297,51;variante absente;Dewalt DCF860D2T-QW Visseuse à chocs XR 282Nm 18V 2 x 2.0Ah batteries 
DCF860E1T-QW;319,74;variante absente;Dewalt DCF860E1T-QW Visseuse à chocs XR 282Nm 18V 1 x 1,7Ah PowerStack
DCF860E2T-QW;379,95;variante absente;DeWalt DCF860E2T-QW
DCF860NT;208,25;variante absente;DeWalt DCF860NT
DCF860P1;320;variante absente;Vis à choc DeWALT DCF860P1 (1 x 5,0 Ah + DCB1104 + TSTAK II)
DCF860P1T-QW;318,42;variante absente;Dewalt DCF860P1T-QW Visseuse à chocs XR 282Nm 18V 1 x 5.0Ah batterie +
DCF860P2T-QW;379,85;variante absente;Dewalt DCF860P2T-QW Visseuse à chocs XR 282Nm 18V 2 x 5.0Ah batteries 
DCF86MM1T-QW;269,99;variante absente;Visseuse à choc sans fil brushless DEWALT McLaren DCF86MM1T-QW 18V 1 x
DCF86MP;279;variante absente;DeWalt McLaren F1 Team DCF86MP 2x 5,0Ah Akkus + Ladegerät
DCF870D1T-QW;272,44;variante absente;Dewalt DCF870D1T-QW Visseuse à chocs Hydraulique XR 18V 1/4″ Brushless
DCF870D2T-QW;289,21;variante absente;Dewalt DCF870D2T-QW Visseuse à chocs Hydraulique XR 18V 1/4″ Brushless
DCF870E2T-QW;342,2;variante absente;DeWalt DCF870E2T-QW
DCF870P1T-QW;296,2;variante absente;Dewalt DCF870P1T-QW Visseuse à chocs Hydraulique XR 18V 1/4″ Brushless
DCF870P2T-QW;362,75;variante absente;Dewalt DCF870P2T-QW Visseuse à chocs Hydraulique XR 18V 1/4″ Brushless
DCF887D1-QW;178,23;variante absente;Dewalt DCF887D1-QW Visseuse à chocs XR 18V Brushless 3 vitesses 1X2Ah 
DCF887D1T;201;variante absente;Clé à chocs DeWALT DCF887D1T (1 x 2,0 Ah + DCB107 + TSTAK II) + kit de
DCF887D2;208,74;variante absente;DeWalt DCF887D2
DCF887D2T;235;variante absente;Clé à chocs DeWALT DCF887D2T (2 x 2,0 Ah + DCB107 + TSTAK II) + kit de
DCF887E1;176,39;variante absente;DeWalt DCF 887 E1 Clé à choc sans fil 18 V 205 Nm 1/4'' Brushless + 1x
DCF887E2;243,87;variante absente;DeWalt DCF 887 E2 Clé à choc sans fil 18 V 205 Nm 1/4'' Brushless + 2x
DCF887H1;253,51;variante absente;DeWalt DCF887H1
DCF887H2;382,03;variante absente;DeWalt DCF887H2
DCF887M1;186,43;variante absente;DeWalt DCF 887 M1 Clé à choc sans fil 18 V 205 Nm 1/4'' Brushless + 1x
DCF887M2;239,74;variante absente;Dewalt DCF887M2 Visseuse à chocs 18V XR 205 Nm (2x4,0 Ah) dans TSTAK
DCF887NDS;117;variante absente;Clé à chocs DeWALT DCF887NDS (appareil seul + DS150)
DCF887P1;195,8;variante absente;DeWalt DCF 887 P1 Clé à choc sans fil 18 V 205 Nm 1/4'' Brushless + 1x
DCF887P1T;256;variante absente;Clé à chocs DeWALT DCF887P1T (1 x 5,0 Ah + DCB1104 + TSTAK II + ceintu
DCF887P1T-15;197,24;variante absente;DeWalt DCF887P1T-15
DCF891;219,75;variante absente;DeWalt DCF891
DCF891EHGT-QW;419,83;variante absente;Dewalt DCF891EHGT-QW - Powerstack XR
DCF891H2T;767,48;variante absente;DeWalt DCF891H2T
DCF891H2T-QW;447,06;variante absente;DeWalt DCF891H2T-QW
DCF891N;231,32;variante absente;DeWalt DCF891N (Solo)
DCF891P2G;399,99;variante absente;DeWalt DCF891P2G
DCF891P2LRT;453,37;variante absente;DeWalt DCF891P2LRT
DCF892;239,1;variante absente;DeWalt DCF892
DCF892N;231,32;variante absente;DeWalt DCF 892 N Clé à choc sans fil 18 V 812 Nm 1/2'' Brushless Solo 
DCF892N-XJ;256,92;variante absente;DeWALT DCF892N-XJ Corps De Clé À Chocs Sans Fil Li-ion XR 18 V - 1/2''
DCF892P2T;346,76;variante absente;DeWalt DCF892P2T
DCF894P2T-15;424,5;variante absente;DeWalt DCF894P2T-15 (2x 5,0 Ah + chargeur en coffret)
DCF899;155,3;variante absente;DeWalt DCF899
DCF899H1-QW;349,85;variante absente;Dewalt DCF899H1-QW Boulonneuse à chocs 18V - 1 x 5,0Ah PowerStack + ch
DCF899H2-QW;456,23;variante absente;Dewalt DCF899H2-QW Boulonneuse à chocs 18V - 2 x 5,0Ah PowerStack + ch
DCF899HN-XJ;234,4;variante absente;DeWalt DCF899HN-XJ
DCF899HNT-XJ;226,1;variante absente;DeWalt DCF899HNT-XJ
DCF899HP1T;313,9;variante absente;DeWalt DCF899HP1T
DCF899HP2-QW;335,89;variante absente;DeWalt DCF899HP2-QW
DCF899N-XJ;155,3;variante absente;DeWalt DCF899N-XJ
DCF899P1-QW;296,75;variante absente;Dewalt DCF899P1-QW Boulonneuse à chocs 18V 5Ah (1x5.0Ah) Li-Ion XR en 
DCF899P1T;308;variante absente;Clé à chocs DeWALT DCF899P1T (1 x 5,0 Ah + DCB115 + TSTAK II)
DCF899P2T;369;variante absente;Clé à chocs DeWALT DCF899P2T (2 x 5,0 Ah + DCB107 + TSTAK II)
DCF899P3T;432;variante absente;Clé à chocs DeWALT DCF899P3T (3 x 5,0 Ah + DCB115 + TSTAK II)
DCF900;212,99;variante absente;DeWalt DCF900
DCF900H1T-QW;415,29;variante absente;Dewalt DCF900H1T-QW Boulonneuse à chocs 18V XR 1/2 1396Nm 1X5Ah POWERS
DCF900H2T;463,61;variante absente;DeWalt DCF900H2T
DCF900H2T-QW;761,14;variante absente;DEWALT - Boulonneuse à Chocs 1 sur 2 Brushless XR 18 V, avec 2X Batter
DCF900N;212,99;variante absente;DeWalt DCF900N (solo)
DCF900P1T-QW;347,26;variante absente;Dewalt DCF900P1T-QW Boulonneuse à chocs 18V XR 1/2″ 1396Nm 1 X 5Ah + c
DCF900P2G;431,77;variante absente;DeWalt DCF900P2G
DCF900P2T;353,47;variante absente;DeWalt DCF900P2T
DCF900P2T-GB;496,87;variante absente;DEWALT DCF900P2T-GB XR Clé à chocs sans balais 1,27 cm 1396 Nm avec 2 
DCF901P;190;variante absente;DeWalt DCF901P
DCF901P1;409,58;variante absente;DeWalt DCF901P1 XR
DCF901P1-QW;198,28;variante absente;DeWalt DCF901P1-QW
DCF901P1G;246,91;variante absente;DeWalt DCF901P1G
DCF901P2-QW;279;variante absente;DeWalt DCF901P2-QW
DCF902;255,16;variante absente;DeWalt DCF902
DCF903;223,75;variante absente;DeWalt DCF903
DCF903P1;223,75;variante absente;DeWalt DCF903P1
DCF903P1G;239,99;variante absente;DeWalt DCF903P1G
DCF903P2-QW;337,07;variante absente;DeWalt DCF903P2-QW
DCF921D1T-QW;244,28;variante absente;Dewalt DCF921D1T-QW Clé à Chocs 1/2 406Nm 18V XR + 1X2.0 Ah Batterie +
DCF921D2T-QW;266,94;variante absente;DeWalt DCF921D2T-QW
DCF921E2T;313,6;variante absente;DeWalt DCF921E2T
DCF921H1T-QW;319,62;variante absente;Dewalt DCF921H1T-QW Clé à Chocs 1/2 406Nm 18V XR + 1X5.0Ah POWERSTACK 
DCF921H2T-QW;384,3;variante absente;DeWalt DCF921H2T-QW
DCF921NT;226,6;variante absente;"DeWalt DCF 921 NT Clé à choc sans fil 18 V 400 Nm 1/2"" Brushless + TST"
DCF921NT-XJ;152,33;variante absente;DeWalt DCF921NT-XJ
DCF921P1;274,15;variante absente;DeWalt DCF921P1 (1x Battery 5,0 Ah + Charger)
DCF921P1T-QW;262,73;variante absente;Dewalt DCF921P1T-QW Visseuse a chocs 1/2 406Nm 18V XR + 1X5Ah Batterie
DCF921P2G;349,92;variante absente;DeWalt DCF921P2G
